Timestamp_ms,Value
55478,0.000
55483,0.000
55488,-0.001
55493,-0.002
55498,0.018
55503,-0.028
55508,-0.097
55513,0.287
55518,0.227
55523,-1.289
55528,-1.092
55533,2.630
55538,2.869
55543,-8.845
55548,-29.798
55553,-32.767
55558,-32.767
55563,-32.767
55568,-32.767
55573,-32.767
55578,-32.767
55583,-32.767
55588,-32.767
55593,-32.767
55598,-32.767
55603,-32.767
55608,-32.767
55613,-32.767
55618,-32.460
55623,-31.950
55628,-31.454
55633,-30.964
55638,-30.483
55643,-30.011
55648,-29.544
55653,-29.085
55658,-28.630
55663,-28.184
55668,-27.746
55673,-27.315
55678,-26.891
55683,-26.471
55688,-26.059
55693,-25.655
55698,-25.257
55703,-24.865
55708,-24.478
55713,-24.097
55718,-23.723
55723,-23.355
55728,-22.991
55733,-22.633
55738,-22.281
55743,-21.934
55748,-21.595
55753,-21.259
55758,-20.928
55763,-20.602
55768,-20.282
55773,-19.967
55778,-19.657
55783,-19.352
55788,-19.051
55793,-18.755
55798,-18.463
55803,-18.176
55808,-17.892
55813,-17.613
55818,-17.340
55823,-17.072
55828,-16.807
55833,-16.546
55838,-16.289
55843,-16.034
55848,-15.783
55853,-15.538
55858,-15.297
55863,-15.059
55868,-14.825
55873,-14.595
55878,-14.369
55883,-14.145
55888,-13.925
55893,-13.709
55898,-13.496
55903,-13.286
55908,-13.080
55913,-12.877
55918,-12.677
55923,-12.480
55928,-12.287
55933,-12.097
55938,-11.910
55943,-11.726
55948,-11.544
55953,-11.364
55958,-11.189
55963,-11.016
55968,-10.844
55973,-10.674
55978,-10.506
55983,-10.343
55988,-10.183
55993,-10.025
55998,-9.869
56003,-9.715
56008,-9.564
56013,-9.417
56018,-9.272
56023,-9.128
56028,-8.987
56033,-8.847
56038,-8.709
56043,-8.575
56048,-8.444
56053,-8.313
56058,-8.183
56063,-8.055
56068,-7.930
56073,-7.807
56078,-7.687
56083,-7.568
56088,-7.451
56093,-7.336
56098,-7.224
56103,-7.110
56108,-6.998
56113,-6.890
56118,-6.783
56123,-6.677
56128,-6.574
56133,-6.473
56138,-6.373
56143,-6.274
56148,-6.176
56153,-6.080
56158,-5.986
56163,-5.893
56168,-5.802
56173,-5.711
56178,-5.622
56183,-5.535
56188,-5.449
56193,-5.366
56198,-5.282
56203,-5.200
56208,-5.120
56213,-5.041
56218,-4.963
56223,-4.885
56228,-4.808
56233,-4.734
56238,-4.663
56243,-4.591
56248,-4.520
56253,-4.449
56258,-4.380
56263,-4.313
56268,-4.246
56273,-4.180
56278,-4.115
56283,-4.051
56288,-3.989
56293,-3.928
56298,-3.868
56303,-3.808
56308,-3.748
56313,-3.689
56318,-3.632
56323,-3.576
56328,-3.521
56333,-3.466
56338,-3.413
56343,-3.361
56348,-3.309
56353,-3.257
56358,-3.205
56363,-3.156
56368,-3.108
56373,-3.062
56378,-3.014
56383,-2.966
56388,-2.919
56393,-2.874
56398,-2.830
56403,-2.787
56408,-2.744
56413,-2.701
56418,-2.660
56423,-2.621
56428,-2.582
56433,-2.543
56438,-2.503
56443,-2.462
56448,-2.421
56453,-2.382
56458,-2.344
56463,-2.306
56468,-2.267
56473,-2.229
56478,-2.191
56483,-2.154
56488,-2.118
56493,-2.083
56498,-2.048
56503,-2.016
56508,-1.984
56513,-1.952
56518,-1.919
56523,-1.886
56528,-1.854
56533,-1.824
56538,-1.794
56543,-1.766
56548,-1.737
56553,-1.709
56558,-1.680
56563,-1.653
56568,-1.626
56573,-1.598
56578,-1.571
56583,-1.545
56588,-1.519
56593,-1.496
56598,-1.472
56603,-1.448
56608,-1.423
56613,-1.399
56618,-1.374
56623,-1.351
56628,-1.328
56633,-1.306
56638,-1.284
56643,-1.263
56648,-1.241
56653,-1.219
56658,-1.199
56663,-1.180
56668,-1.160
56673,-1.140
56678,-1.121
56683,-1.104
56688,-1.086
56693,-1.070
56698,-1.054
56703,-1.037
56708,-1.019
56713,-1.001
56718,-0.984
56723,-0.967
56728,-0.951
56733,-0.934
56738,-0.918
56743,-0.904
56748,-0.890
56753,-0.875
56758,-0.861
56763,-0.848
56768,-0.834
56773,-0.820
56778,-0.806
56783,-0.793
56788,-0.779
56793,-0.766
56798,-0.753
56803,-0.740
56808,-0.727
56813,-0.715
56818,-0.701
56823,-0.689
56828,-0.678
56833,-0.669
56838,-0.658
56843,-0.646
56848,-0.634
56853,-0.624
56858,-0.614
56863,-0.603
56868,-0.594
56873,-0.586
56878,-0.577
56883,-0.566
56888,-0.556
56893,-0.546
56898,-0.536
56903,-0.529
56908,-0.521
56913,-0.511
56918,-0.500
56923,-0.491
56928,-0.483
56933,-0.476
56938,-0.470
56943,-0.464
56948,-0.457
56953,-0.450
56958,-0.443
56963,-0.434
56968,-0.428
56973,-0.422
56978,-0.414
56983,-0.407
56988,-0.401
56993,-0.394
56998,-0.388
57003,-0.382
57008,-0.376
57013,-0.368
57018,-0.363
57023,-0.357
57028,-0.351
57033,-0.345
57038,-0.339
57043,-0.334
57048,-0.329
57053,-0.323
57058,-0.317
57063,-0.311
57068,-0.306
57073,-0.301
57078,-0.296
57083,-0.290
57088,-0.285
57093,-0.280
57098,-0.275
57103,-0.269
57108,-0.265
57113,-0.261
57118,-0.257
57123,-0.253
57128,-0.250
57133,-0.245
57138,-0.240
57143,-0.235
57148,-0.231
57153,-0.225
57158,-0.223
57163,-0.220
57168,-0.217
57173,-0.216
57178,-0.211
57183,-0.207
57188,-0.204
57193,-0.201
57198,-0.198
57203,-0.194
57208,-0.191
57213,-0.188
57218,-0.185
57223,-0.183
57228,-0.178
57233,-0.174
57238,-0.170
57243,-0.169
57248,-0.168
57253,-0.166
57258,-0.165
57263,-0.162
57268,-0.159
57273,-0.155
57278,-0.153
57283,-0.152
57288,-0.151
57293,-0.148
57298,-0.144
57303,-0.143
57308,-0.139
57313,-0.136
57318,-0.133
57323,-0.132
57328,-0.131
57333,-0.129
57338,-0.126
57343,-0.124
57348,-0.122
57353,-0.121
57358,-0.120
57363,-0.117
57368,-0.114
57373,-0.111
57378,-0.109
57383,-0.108
57388,-0.108
57393,-0.106
57398,-0.105
57403,-0.103
57408,-0.100
57413,-0.097
57418,-0.096
57423,-0.093
57428,-0.092
57433,-0.089
57438,-0.088
57443,-0.089
57448,-0.089
57453,-0.089
57458,-0.086
57463,-0.084
57468,-0.084
57473,-0.083
57478,-0.082
57483,-0.080
57488,-0.078
57493,-0.077
57498,-0.076
57503,-0.074
57508,-0.073
57513,-0.073
57518,-0.072
57523,-0.069
57528,-0.067
57533,-0.065
57538,-0.065
57543,-0.064
57548,-0.062
57553,-0.062
57558,-0.062
57563,-0.063
57568,-0.062
57573,-0.060
57578,-0.058
57583,-0.058
57588,-0.059
57593,-0.058
57598,-0.056
57603,-0.056
57608,-0.057
57613,-0.058
57618,-0.057
57623,-0.053
57628,-0.053
57633,-0.053
57638,-0.053
57643,-0.051
57648,-0.049
57653,-0.049
57658,-0.049
57663,-0.050
57668,-0.050
57673,-0.048
57678,-0.048
57683,-0.047
57688,-0.046
57693,-0.046
57698,-0.046
57703,-0.045
57708,-0.046
57713,-0.045
57718,-0.045
57723,-0.044
57728,-0.043
57733,-0.043
57738,-0.042
57743,-0.042
57748,-0.040
57753,-0.040
57758,-0.039
57763,-0.039
57768,-0.039
57773,-0.040
57778,-0.040
57783,-0.041
57788,-0.041
57793,-0.041
57798,-0.042
57803,-0.040
57808,-0.039
57813,-0.039
57818,-0.040
57823,-0.040
57828,-0.040
57833,-0.037
57838,-0.037
57843,-0.037
57848,-0.038
57853,-0.039
57858,-0.037
57863,-0.039
57868,-0.037
57873,-0.038
57878,-0.038
57883,-0.039
57888,-0.039
57893,-0.039
57898,-0.039
57903,-0.036
57908,-0.037
57913,-0.039
57918,-0.040
57923,-0.040
57928,-0.038
57933,-0.037
57938,-0.037
57943,-0.037
57948,-0.038
57953,-0.038
57958,-0.038
57963,-0.038
57968,-0.037
57973,-0.037
57978,-0.038
57983,-0.038
57988,-0.038
57993,-0.038
57998,-0.037
58003,-0.037
58008,-0.037
58013,-0.037
58018,-0.037
58023,-0.037
58028,-0.037
58033,-0.038
58038,-0.038
58043,-0.039
58048,-0.039
58053,-0.037
58058,-0.037
58063,-0.037
58068,-0.035
58073,-0.035
58078,-0.035
58083,-0.035
58088,-0.035
58093,-0.035
58098,-0.036
58103,-0.035
58108,-0.035
58113,-0.036
58118,-0.037
58123,-0.037
58128,-0.036
58133,-0.037
58138,-0.037
58143,-0.037
58148,-0.037
58153,-0.037
58158,-0.036
58163,-0.035
58168,-0.034
58173,-0.034
58178,-0.034
58183,-0.034
58188,-0.034
58193,-0.034
58198,-0.035
58203,-0.036
58208,-0.037
58213,-0.036
58218,-0.036
58223,-0.035
58228,-0.037
58233,-0.037
58238,-0.037
58243,-0.036
58248,-0.035
58253,-0.034
58258,-0.034
58263,-0.034
58268,-0.034
58273,-0.036
58278,-0.037
58283,-0.035
58288,-0.034
58293,-0.034
58298,-0.035
58303,-0.038
58308,-0.037
58313,-0.035
58318,-0.034
58323,-0.034
58328,-0.035
58333,-0.036
58338,-0.036
58343,-0.034
58348,-0.035
58353,-0.035
58358,-0.035
58363,-0.034
58368,-0.035
58373,-0.035
58378,-0.036
58383,-0.036
58388,-0.037
58393,-0.037
58398,-0.035
58403,-0.034
58408,-0.034
58413,-0.035
58418,-0.037
58423,-0.036
58428,-0.035
58433,-0.035
58438,-0.037
58443,-0.039
58448,-0.039
58453,-0.038
58458,-0.037
58463,-0.035
58468,-0.035
58473,-0.035
58478,-0.034
58483,-0.035
58488,-0.036
58493,-0.037
58498,-0.036
58503,-0.036
58508,-0.035
58513,-0.037
58518,-0.036
58523,-0.035
58528,-0.035
58533,-0.035
58538,-0.037
58543,-0.037
58548,-0.035
58553,-0.034
58558,-0.034
58563,-0.034
58568,-0.036
58573,-0.036
58578,-0.035
58583,-0.033
58588,-0.033
58593,-0.035
58598,-0.035
58603,-0.034
58608,-0.032
58613,-0.033
58618,-0.034
58623,-0.035
58628,-0.035
58633,-0.035
58638,-0.035
58643,-0.034
58648,-0.033
58653,-0.033
58658,-0.034
58663,-0.036
58668,-0.037
58673,-0.037
58678,-0.036
58683,-0.034
58688,-0.032
58693,-0.033
58698,-0.034
58703,-0.035
58708,-0.034
58713,-0.033
58718,-0.034
58723,-0.035
58728,-0.035
58733,-0.033
58738,-0.033
58743,-0.034
58748,-0.034
58753,-0.033
58758,-0.033
58763,-0.034
58768,-0.035
58773,-0.037
58778,-0.036
58783,-0.036
58788,-0.036
58793,-0.036
58798,-0.036
58803,-0.035
58808,-0.034
58813,-0.034
58818,-0.035
58823,-0.036
58828,-0.036
58833,-0.034
58838,-0.032
58843,-0.032
58848,-0.032
58853,-0.032
58858,-0.033
58863,-0.034
58868,-0.034
58873,-0.034
58878,-0.034
58883,-0.034
58888,-0.034
58893,-0.032
58898,-0.032
58903,-0.032
58908,-0.033
58913,-0.034
58918,-0.034
58923,-0.034
58928,-0.034
58933,-0.036
58938,-0.036
58943,-0.037
58948,-0.037
58953,-0.037
58958,-0.036
58963,-0.036
58968,-0.035
58973,-0.033
58978,-0.034
58983,-0.035
58988,-0.036
58993,-0.035
58998,-0.033
59003,-0.032
59008,-0.032
59013,-0.034
59018,-0.035
59023,-0.037
59028,-0.036
59033,-0.034
59038,-0.033
59043,-0.032
59048,-0.034
59053,-0.034
59058,-0.035
59063,-0.035
59068,-0.035
59073,-0.036
59078,-0.036
59083,-0.036
59088,-0.037
59093,-0.036
59098,-0.035
59103,-0.035
59108,-0.035
59113,-0.036
59118,-0.036
59123,-0.035
59128,-0.035
59133,-0.037
59138,-0.037
59143,-0.037
59148,-0.036
59153,-0.035
59158,-0.035
59163,-0.036
59168,-0.036
59173,-0.035
59178,-0.035
59183,-0.035
59188,-0.034
59193,-0.034
59198,-0.034
59203,-0.035
59208,-0.036
59213,-0.037
59218,-0.037
59223,-0.036
59228,-0.035
59233,-0.034
59238,-0.035
59243,-0.035
59248,-0.035
59253,-0.036
59258,-0.037
59263,-0.037
59268,-0.037
59273,-0.037
59278,-0.035
59283,-0.036
59288,-0.037
59293,-0.036
59298,-0.035
59303,-0.034
59308,-0.033
59313,-0.035
59318,-0.036
59323,-0.037
59328,-0.036
59333,-0.036
59338,-0.037
59343,-0.037
59348,-0.037
59353,-0.035
59358,-0.035
59363,-0.037
59368,-0.038
59373,-0.038
59378,-0.036
59383,-0.034
59388,-0.035
59393,-0.035
59398,-0.035
59403,-0.036
59408,-0.036
59413,-0.035
59418,-0.035
59423,-0.037
59428,-0.037
59433,-0.038
59438,-0.037
59443,-0.036
59448,-0.036
59453,-0.036
59458,-0.036
59463,-0.037
59468,-0.036
59473,-0.036
59478,-0.036
59483,-0.036
59488,-0.035
59493,-0.035
59498,-0.035
59503,-0.035
59508,-0.035
59513,-0.037
59518,-0.037
59523,-0.037
59528,-0.035
59533,-0.035
59538,-0.037
59543,-0.038
59548,-0.038
59553,-0.038
59558,-0.038
59563,-0.037
59568,-0.038
59573,-0.037
59578,-0.035
59583,-0.036
59588,-0.037
59593,-0.038
59598,-0.036
59603,-0.036
59608,-0.035
59613,-0.036
59618,-0.037
59623,-0.037
59628,-0.037
59633,-0.035
59638,-0.037
59643,-0.037
59648,-0.037
59653,-0.036
59658,-0.036
59663,-0.035
59668,-0.037
59673,-0.036
59678,-0.035
59683,-0.035
59688,-0.036
59693,-0.037
59698,-0.037
59703,-0.038
59708,-0.036
59713,-0.038
59718,-0.038
59723,-0.037
59728,-0.036
59733,-0.036
59738,-0.035
59743,-0.035
59748,-0.035
59753,-0.034
59758,-0.035
59763,-0.037
59768,-0.038
59773,-0.037
59778,-0.036
59783,-0.035
59788,-0.035
59793,-0.037
59798,-0.037
59803,-0.036
59808,-0.034
59813,-0.034
59818,-0.034
59823,-0.033
59828,-0.034
59833,-0.034
59838,-0.035
59843,-0.037
59848,-0.036
59853,-0.036
59858,-0.036
59863,-0.035
59868,-0.035
59873,-0.034
59878,-0.034
59883,-0.034
59888,-0.034
59893,-0.035
59898,-0.035
59903,-0.034
59908,-0.034
59913,-0.034
59918,-0.035
59923,-0.035
59928,-0.034
59933,-0.034
59938,-0.033
59943,-0.032
59948,-0.032
59953,-0.033
59958,-0.034
59963,-0.034
59968,-0.034
59973,-0.032
59978,-0.034
59983,-0.036
59988,-0.037
59993,-0.035
59998,-0.034
60003,-0.033
60008,-0.034
60013,-0.035
60018,-0.034
60023,-0.034
60028,-0.035
60033,-0.035
60038,-0.035
60043,-0.034
60048,-0.034
60053,-0.034
60058,-0.036
60063,-0.036
60068,-0.037
60073,-0.036
60078,-0.037
60083,-0.036
60088,-0.037
60093,-0.037
60098,-0.037
60103,-0.035
60108,-0.036
60113,-0.039
60118,-0.038
60123,-0.036
60128,-0.037
60133,-0.036
60138,-0.036
60143,-0.037
60148,-0.039
60153,-0.037
60158,-0.036
60163,-0.037
60168,-0.037
60173,-0.037
60178,-0.038
60183,-0.038
60188,-0.036
60193,-0.037
60198,-0.040
60203,-0.040
60208,-0.040
60213,-0.038
60218,-0.037
60223,-0.036
60228,-0.037
60233,-0.036
60238,-0.035
60243,-0.035
60248,-0.036
60253,-0.038
60258,-0.038
60263,-0.037
60268,-0.037
60273,-0.038
60278,-0.038
60283,-0.038
60288,-0.037
60293,-0.034
60298,-0.035
60303,-0.037
60308,-0.038
60313,-0.039
60318,-0.040
60323,-0.039
60328,-0.038
60333,-0.037
60338,-0.039
60343,-0.038
60348,-0.039
60353,-0.037
60358,-0.034
60363,-0.033
60368,-0.035
60373,-0.035
60378,-0.037
60383,-0.036
60388,-0.037
60393,-0.038
60398,-0.038
60403,-0.037
60408,-0.036
60413,-0.036
60418,-0.035
60423,-0.037
60428,-0.036
60433,-0.036
60438,-0.037
60443,-0.037
60448,-0.037
60453,-0.039
60458,-0.038
60463,-0.037
60468,-0.038
60473,-0.037
60478,-0.036
60483,-0.038
60488,-0.040
60493,-0.039
60498,-0.038
60503,-0.037
60508,-0.036
60513,-0.036
60518,-0.035
60523,-0.035
60528,-0.035
60533,-0.035
60538,-0.037
60543,-0.036
60548,-0.037
60553,-0.038
60558,-0.039
60563,-0.038
60568,-0.035
60573,-0.036
60578,-0.036
60583,-0.037
60588,-0.039
60593,-0.038
60598,-0.037
60603,-0.035
60608,-0.035
60613,-0.035
60618,-0.036
60623,-0.038
60628,-0.038
60633,-0.037
60638,-0.035
60643,-0.036
60648,-0.035
60653,-0.037
60658,-0.037
60663,-0.036
60668,-0.035
60673,-0.036
60678,-0.037
60683,-0.037
60688,-0.036
60693,-0.037
60698,-0.037
60703,-0.037
60708,-0.036
60713,-0.035
60718,-0.034
60723,-0.035
60728,-0.035
60733,-0.035
60738,-0.034
60743,-0.035
60748,-0.038
60753,-0.039
60758,-0.038
60763,-0.037
60768,-0.037
60773,-0.036
60778,-0.035
60783,-0.036
60788,-0.035
60793,-0.035
60798,-0.037
60803,-0.037
60808,-0.038
60813,-0.038
60818,-0.038
60823,-0.038
60828,-0.037
60833,-0.038
60838,-0.040
60843,-0.039
60848,-0.038
60853,-0.037
60858,-0.035
60863,-0.036
60868,-0.037
60873,-0.037
60878,-0.035
60883,-0.035
60888,-0.034
60893,-0.034
60898,-0.037
60903,-0.037
60908,-0.038
60913,-0.037
60918,-0.037
60923,-0.036
60928,-0.036
60933,-0.038
60938,-0.039
60943,-0.039
60948,-0.039
60953,-0.038
60958,-0.038
60963,-0.039
60968,-0.039
60973,-0.039
60978,-0.038
60983,-0.037
60988,-0.036
60993,-0.037
60998,-0.038
61003,-0.038
61008,-0.039
61013,-0.038
61018,-0.036
61023,-0.035
61028,-0.036
61033,-0.036
61038,-0.036
61043,-0.036
61048,-0.036
61053,-0.035
61058,-0.035
61063,-0.036
61068,-0.037
61073,-0.037
61078,-0.035
61083,-0.036
61088,-0.037
61093,-0.038
61098,-0.038
61103,-0.036
61108,-0.035
61113,-0.035
61118,-0.036
61123,-0.036
61128,-0.035
61133,-0.035
61138,-0.035
61143,-0.037
61148,-0.036
61153,-0.036
61158,-0.036
61163,-0.036
61168,-0.036
61173,-0.035
61178,-0.035
61183,-0.035
61188,-0.034
61193,-0.034
61198,-0.035
61203,-0.036
61208,-0.037
61213,-0.036
61218,-0.035
61223,-0.035
61228,-0.034
61233,-0.034
61238,-0.034
61243,-0.034
61248,-0.035
61253,-0.035
61258,-0.033
61263,-0.033
61268,-0.034
61273,-0.036
61278,-0.037
61283,-0.035
61288,-0.036
61293,-0.035
61298,-0.035
61303,-0.037
61308,-0.035
61313,-0.035
61318,-0.035
61323,-0.035
61328,-0.036
61333,-0.036
61338,-0.036
61343,-0.034
61348,-0.034
61353,-0.035
61358,-0.035
61363,-0.037
61368,-0.036
61373,-0.036
61378,-0.035
61383,-0.034
61388,-0.035
61393,-0.034
61398,-0.035
61403,-0.035
61408,-0.034
61413,-0.033
61418,-0.032
61423,-0.034
61428,-0.034
61433,-0.035
61438,-0.034
61443,-0.035
61448,-0.035
61453,-0.034
61458,-0.032
61463,-0.031
61468,-0.032
61473,-0.032
61478,-0.033
61483,-0.032
61488,-0.032
61493,-0.031
61498,-0.033
61503,-0.034
61508,-0.033
61513,-0.031
61518,-0.032
61523,-0.034
61528,-0.035
61533,-0.034
61538,-0.035
61543,-0.034
61548,-0.035
61553,-0.034
61558,-0.032
61563,-0.032
61568,-0.032
61573,-0.033
61578,-0.033
61583,-0.034
61588,-0.034
61593,-0.034
61598,-0.033
61603,-0.033
61608,-0.033
61613,-0.033
61618,-0.034
61623,-0.034
61628,-0.033
61633,-0.033
61638,-0.032
61643,-0.033
61648,-0.033
61653,-0.033
61658,-0.033
61663,-0.033
61668,-0.032
61673,-0.031
61678,-0.031
61683,-0.034
61688,-0.034
61693,-0.033
61698,-0.032
61703,-0.032
61708,-0.032
61713,-0.034
61718,-0.034
61723,-0.034
61728,-0.033
61733,-0.033
61738,-0.034
61743,-0.033
61748,-0.032
61753,-0.031
61758,-0.031
61763,-0.032
61768,-0.032
61773,-0.033
61778,-0.032
61783,-0.031
61788,-0.031
61793,-0.031
61798,-0.032
61803,-0.033
61808,-0.034
61813,-0.033
61818,-0.031
61823,-0.030
61828,-0.031
61833,-0.032
61838,-0.032
61843,-0.031
61848,-0.030
61853,-0.029
61858,-0.029
61863,-0.029
61868,-0.029
61873,-0.029
61878,-0.029
61883,-0.029
61888,-0.030
61893,-0.031
61898,-0.032
61903,-0.032
61908,-0.030
61913,-0.029
61918,-0.029
61923,-0.030
61928,-0.030
61933,-0.030
61938,-0.030
61943,-0.030
61948,-0.031
61953,-0.031
61958,-0.031
61963,-0.029
61968,-0.029
61973,-0.030
61978,-0.030
61983,-0.029
61988,-0.029
61993,-0.028
61998,-0.029
62003,-0.030
62008,-0.031
62013,-0.031
62018,-0.029
62023,-0.029
62028,-0.029
62033,-0.028
62038,-0.027
62043,-0.026
62048,-0.026
62053,-0.026
62058,-0.025
62063,-0.024
62068,-0.024
62073,-0.024
62078,-0.024
62083,-0.024
62088,-0.023
62093,-0.024
62098,-0.025
62103,-0.024
62108,-0.025
62113,-0.024
62118,-0.025
62123,-0.024
62128,-0.024
62133,-0.024
62138,-0.022
62143,-0.021
62148,-0.021
62153,-0.021
62158,-0.022
62163,-0.021
62168,-0.020
62173,-0.020
62178,-0.022
62183,-0.024
62188,-0.023
62193,-0.023
62198,-0.022
62203,-0.022
62208,-0.022
62213,-0.021
62218,-0.020
62223,-0.019
62228,-0.019
62233,-0.019
62238,-0.018
62243,-0.018
62248,-0.018
62253,-0.018
62258,-0.019
62263,-0.020
62268,-0.020
62273,-0.019
62278,-0.018
62283,-0.018
62288,-0.018
62293,-0.019
62298,-0.018
62303,-0.018
62308,-0.018
62313,-0.018
62318,-0.019
62323,-0.019
62328,-0.020
62333,-0.020
62338,-0.019
62343,-0.018
62348,-0.017
62353,-0.018
62358,-0.019
62363,-0.018
62368,-0.016
62373,-0.016
62378,-0.017
62383,-0.018
62388,-0.017
62393,-0.015
62398,-0.014
62403,-0.017
62408,-0.018
62413,-0.019
62418,-0.016
62423,-0.014
62428,-0.015
62433,-0.016
62438,-0.018
62443,-0.016
62448,-0.014
62453,-0.015
62458,-0.016
62463,-0.017
62468,-0.016
62473,-0.014
62478,-0.013
62483,-0.014
62488,-0.015
62493,-0.015
62498,-0.014
62503,-0.013
62508,-0.013
62513,-0.012
62518,-0.012
62523,-0.013
62528,-0.012
62533,-0.011
62538,-0.010
62543,-0.010
62548,-0.010
62553,-0.011
62558,-0.011
62563,-0.011
62568,-0.010
62573,-0.009
62578,-0.008
62583,-0.008
62588,-0.008
62593,-0.008
62598,-0.008
62603,-0.007
62608,-0.006
62613,-0.006
62618,-0.006
62623,-0.006
62628,-0.005
62633,-0.004
62638,-0.003
62643,-0.003
62648,-0.002
62653,-0.003
62658,-0.004
62663,-0.004
62668,-0.003
62673,-0.001
62678,0.002
62683,0.002
62688,0.002
62693,0.000
62698,0.000
62703,0.002
62708,0.002
62713,0.002
62718,0.003
62723,0.004
62728,0.004
62733,0.005
62738,0.004
62743,0.005
62748,0.006
62753,0.006
62758,0.006
62763,0.006
62768,0.006
62773,0.005
62778,0.006
62783,0.007
62788,0.008
62793,0.007
62798,0.008
62803,0.007
62808,0.009
62813,0.012
62818,0.016
62823,0.020
62828,0.022
62833,0.025
62838,0.027
62843,0.028
62848,0.029
62853,0.033
62858,0.036
62863,0.040
62868,0.041
62873,0.043
62878,0.045
62883,0.047
62888,0.047
62893,0.050
62898,0.054
62903,0.059
62908,0.062
62913,0.065
62918,0.071
62923,0.077
62928,0.082
62933,0.085
62938,0.088
62943,0.093
62948,0.099
62953,0.102
62958,0.106
62963,0.109
62968,0.114
62973,0.119
62978,0.125
62983,0.127
62988,0.129
62993,0.134
62998,0.147
63003,0.158
63008,0.163
63013,0.163
63018,0.167
63023,0.179
63028,0.192
63033,0.201
63038,0.208
63043,0.213
63048,0.220
63053,0.230
63058,0.249
63063,0.274
63068,0.296
63073,0.298
63078,0.280
63083,0.261
63088,0.257
63093,0.274
63098,0.301
63103,0.346
63108,0.430
63113,0.563
